14646,280206.02,74,3786.57,High Value
18102,259657.30,60,4327.62,High Value
17450,194550.79,46,4229.37,High Value
16446,168472.50,2,84236.25,High Value
14911,143825.06,201,715.55,High Value
12415,124914.53,21,5948.31,High Value
14156,117379.63,55,2134.18,High Value
17511,91062.38,31,2937.50,High Value
16029,81024.84,63,1286.11,High Value
12346,77183.60,1,77183.60,High Value
16684,66653.56,28,2380.48,High Value
14096,65164.79,17,3833.22,High Value
13694,65039.62,50,1300.79,High Value
15311,60767.90,91,667.78,High Value
13089,58825.83,97,606.45,High Value
17949,58510.48,45,1300.23,High Value
15769,56252.72,26,2163.57,High Value
15061,54534.14,48,1136.13,High Value
14298,51527.30,44,1171.08,High Value
14088,50491.81,13,3883.99,High Value
15749,44534.30,3,14844.77,High Value
12931,42055.96,15,2803.73,High Value
17841,40991.57,124,330.58,High Value
15098,39916.50,3,13305.50,High Value
13798,37153.85,57,651.82,High Value
16013,37130.60,47,790.01,High Value
16422,34684.40,51,680.09,High Value
12748,33719.73,210,160.57,High Value
15838,33643.08,19,1770.69,High Value
17404,31906.82,15,2127.12,High Value
17389,31833.68,34,936.28,High Value
13098,28882.44,28,1031.52,High Value
14680,28754.11,16,1797.13,High Value
13081,28337.38,11,2576.13,High Value
13408,28117.04,62,453.50,High Value
17857,26879.04,23,1168.65,High Value
16333,26626.80,22,1210.31,High Value
13777,25977.16,33,787.19,High Value
12753,21429.39,6,3571.57,High Value
12744,21279.29,7,3039.90,High Value
16210,21086.30,18,1171.46,High Value
17675,20374.28,31,657.23,High Value
17381,20275.61,29,699.16,High Value
15039,19914.44,47,423.71,High Value
12471,19824.05,30,660.80,High Value
12731,18895.91,12,1574.66,High Value
15159,18641.01,30,621.37,High Value
12901,17654.54,28,630.52,High Value
12678,17628.46,12,1469.04,High Value
14031,17286.86,19,909.83,High Value
17428,17256.85,28,616.32,High Value
13767,17220.36,37,465.42,High Value
13881,17159.52,20,857.98,High Value
16839,16594.35,34,488.07,High Value
